Opportunity Name,Sponsoring Organization/Funder,Funding/Salary/Benefit,Summary,Application Deadline,Target Sector/Beneficiaries,Eligibility,Geographic Focus,Consortium/Partnership Notes,Source Link,End Summary,Status,Date Added,Track (AI),Track (Editor),Notes
Summer 2026 Investigative Reporting Internship,Ida B. Wells Society for Investigative Reporting (IBWS),"A 10–12 week paid summer internship program placing student and recent graduate journalists in leading U.S. newsrooms to work on investigative reporting projects, with mentorship and training.",Paid internship; includes relocation and housing stipend for out-of-state interns,Paid internship; includes relocation and housing stipend for out-of-state interns,"Open to rising college juniors, seniors, graduate students, or graduates within the past 3 years; must be IBWS members; journalism/media experience required",Student journalists and early-career reporters pursuing investigative journalism,United States (placements in U.S. newsrooms),Individual placement with partner newsrooms; no consortium required,https://idabwellssociety.org/news/summer-2026-investigative-reporting-internship-applications/,A career-launching opportunity for aspiring investigative journalists to gain hands-on newsroom experience through paid internships in top U.S. outlets.,Approved,,,,
Fellows Program: Class of 2027,New America,"Fellowship for journalists, scholars, filmmakers, and policy analysts to pursue ambitious longform projects addressing key societal challenges. Supports investigative reporting, books, films, podcasts, and other public-interest work.","USD 15,000 – 30,000 (unrestricted stipend for income, travel, production)","USD 15,000 – 30,000 (unrestricted stipend for income, travel, production)","Open to journalists, scholars, storytellers, and researchers; non-U.S. citizens and remote work allowed","Journalists, researchers, media creators, policy analysts",Global,Individual applicants only; collaboration allowed within project scope,https://newamerica.smapply.org/prog/classof2027/,"A globally open, flexible fellowship enabling impactful storytelling, analysis, and reporting on social challenges with generous support.",Approved,,,,
WPI Fellowship Program 2026,World Press Institute,"A fully funded, 9-week cross-country U.S. fellowship for 10 international journalists to explore U.S. media, press freedom, culture, and political issues through site visits, expert sessions, and reporting experiences.","Round-trip airfare, in-country travel, lodging, daily meal stipend","Round-trip airfare, in-country travel, lodging, daily meal stipend","Non-U.S. journalists with 5+ years of full-time experience in newsrooms, fluent in English, currently employed in journalism",Mid-career international journalists,Global (excluding U.S.),Not required,https://worldpressinstitute.org/fellowships/,Provides global journalists with a deep dive into U.S. journalism systems and press freedom through immersive professional exposure.,Approved,,,,
Resource Development Fellowship,The Texas Tribune,"Helps Tribune’s fundraising and development team with donor stewardship, events, research and grants.",Paid (stipend not specified),Paid (stipend not specified),"Students interested in nonprofit management, fundraising, journalism support",Fundraising and nonprofit media support roles,"Texas, USA",None,https://recruiting.paylocity.com/recruiting/jobs/Details/3601880/Texas-Tribune-Inc/The-Texas-Tribune-2026-Student-Fellowships,Hands-on role with nonprofit sustainability and fundraising strategies.,Approved,,,,
Reporting Fellowship,The Texas Tribune,"Traditional newsroom reporting experience with beat-specific assignments in politics, health, education, or environment.",Paid (stipend not specified),Paid (stipend not specified),Journalism students with strong writing and reporting skills,Aspiring reporters and newsroom trainees,"Texas, USA",None,https://recruiting.paylocity.com/recruiting/jobs/Details/3601880/Texas-Tribune-Inc/The-Texas-Tribune-2026-Student-Fellowships,Flagship newsroom role across core beats of Tribune reporting.,Approved,,,,
Photography Fellowship,The Texas Tribune,"Produces visual documentation of news stories, events and more. Strong storytelling with images required.",Paid (stipend not specified),Paid (stipend not specified),"Students with photography experience in photojournalism, events, editorial","Visual media, journalism and photography students","Texas, USA",None,https://recruiting.paylocity.com/recruiting/jobs/Details/3601880/Texas-Tribune-Inc/The-Texas-Tribune-2026-Student-Fellowships,Practical experience in visual storytelling for public journalism.,Approved,,,,
Arts Journalism Fellowship,"Wallace House, University of Michigan","Fellowship for U.S. arts journalists and critics to pursue projects focused on arts reporting. Fellows join Knight-Wallace cohort and engage with University of Michigan’s Arts Initiative. Provides academic, creative, and professional support to counteract the decline in arts coverage.",Included under Knight-Wallace,Included under Knight-Wallace,U.S.-based arts journalists/critics with a minimum of five years of professional experience. Must describe past arts journalism work and propose a fellowship project focused on arts coverage.,Arts Journalists,United States (U.S. passport holders),Not Applicable,https://wallacehouse.umich.edu/knight-wallace/about/#arts),Revitalizing U.S. arts journalism through immersive academic fellowship.,Approved,,,,
Great Lakes Local News Fellowship,"Wallace House, University of Michigan","Fellowship under Knight-Wallace for journalists or media strategists building local news outlets in Illinois, Indiana, Michigan, Minnesota, Ohio, or Wisconsin. Focuses on entrepreneurial journalism, trust-building, and serving underserved communities. Provides training and expert support in business law, development, and sustainability.",Included under Knight-Wallace,Included under Knight-Wallace,U.S.-based journalists or journalism strategists with at least five years of experience. Must live in or demonstrate deep understanding of one of the focus states and intend to serve that community after the fellowship. Must propose a clearly defined entrepreneurial project.,"Journalists, Media Strategists","U.S. (IL, IN, MI, MN, OH, WI)",Not Applicable,https://wallacehouse.umich.edu/knight-wallace/about/#localnews,Fellowship to build sustainable local journalism projects in the U.S. Great Lakes states.,Approved,,,,
Persephone Miel Fellowship,Pulitzer Center,Provides support for non-Western journalists pursuing cross-border or global reporting projects.,"Up to $5,000 + mentorship and publication support.","Up to $5,000 + mentorship and publication support.",Non-Western journalists with a strong international reporting idea.,Investigative journalism,Global (non-Western focus),NA,https://pulitzercenter.org/grants-fellowships/opportunities-journalists/persephone-miel-fellowships,Builds capacity for global reporting among non-Western journalists.,Approved,,,,
The “Voices of Ukraine” Programme,The Fix Media Foundation (in cooperation with ECPMF),"Grant programme to support Ukrainian media outlets and journalists facing war-related challenges like power outages and insecurity. Aims to sustain frontline, regional and hyperlocal reporting during wartime.","€1,600 per journalist or up to €10,000 per outlet","€1,600 per journalist or up to €10,000 per outlet","Open to Ukrainian media outlets (print, online, radio, or TV). Both established and newer or smaller outlets are eligible. Priority to regional, hyperlocal, or frontline media operating in conflict zones or war-affected areas.","Journalists and independent media outlets (print, online, radio, TV), especially those at risk due to conflict",Ukraine,Information Not Available,https://gfmd.info/fundings/the-voices-of-ukraine-programme/,Vital support initiative to help Ukrainian journalists continue reporting under extremely difficult conditions.,Approved,,,,
Global Media Defence Fund (GMDF) – Call for Partnerships 2025,UNESCO,"Funding programme for non-profit organisations to support journalists' legal protection and media freedom, through investigative journalism or strategic litigation initiatives.","US$15,000 to US$50,000 per project","US$15,000 to US$50,000 per project","Open to non-profit organisations globally working in media freedom, legal defense of journalists, or strategic litigation. UNGM registration not mandatory.","NGOs focused on journalist protection, investigative journalism, media freedom",Global,Partnerships are allowed but not mandatory; individual applications also welcome.,https://www.ungm.org/Public/Notice/283457,A significant grant call to support media freedom and journalist protection globally through legal and journalistic interventions.,Approved,,,,
Tech Reporting Fellowship in collaboration with Tech Policy Press,openDemocracy (in collaboration with Tech Policy Press),"A 12-month journalism fellowship focused on reporting how technology affects society, democracy, and policy. Fellows will produce monthly articles and a long-term investigation, embedded within openDemocracy's newsroom.","£30,000 annual stipend, paid monthly","£30,000 annual stipend, paid monthly","Open to journalists, researchers, lawyers, technologists, and public policy professionals transitioning to journalism. Applicants must be UK-based and have the right to live/work in the UK (no visa support).","Early to mid-career professionals in journalism, media, technology, or public interest reporting",United Kingdom,Individual applications only; no consortiums,https://www.opendemocracy.net/en/job-opportunity-tech-reporting-fellowship/),"A UK-based newsroom-embedded fellowship focused on tech, democracy, and public interest journalism.",Approved,,,,
2026 UN Foundation Polio Press Fellowship,United Nations Foundation,A reporting fellowship supporting journalists covering efforts to eradicate polio in affected countries. Fellows will gain access to critical stakeholders and on-ground reporting opportunities.,"All travel, accommodation, and logistical costs covered. Reporting honorarium also provided (exact amount not specified).","All travel, accommodation, and logistical costs covered. Reporting honorarium also provided (exact amount not specified).",Open to working journalists with a demonstrated interest or background in global health or development reporting. Must be available for international travel and publication of stories during the fellowship window.,"Individual journalists, especially those with interest in global health reporting","Preference will be given to reporters interested in traveling to the following eight countrie(s), namely; Angola, Chad, Democratic Republic of the Congo, Ethiopia, Namibia, Nigeria, Pakistan, Papua New Guinea.",Individual applications only. No consortium requirement.,https://unfoundation.org/media/call-for-applications-2026-united-nations-foundation-polio-press-fellowship-for-individual-reporting-in-polio-affected-countries/),Health-focused journalism fellowship enabling in-depth field reporting on polio eradication efforts.,Approved,,,,
"Ukraine: Relief, Resilience, Recovery (U3R)",German Marshall Fund of the United States (GMFUS),"Provides grants to Ukrainian civil society organisations and  𝐢𝐧𝐝𝐞𝐩𝐞𝐧𝐝𝐞𝐧𝐭 𝐦𝐞𝐝𝐢𝐚 to support humanitarian aid, civic resilience, local recovery, youth engagement, and media freedom in response to war impacts.","Up to US$25,000 per project","Up to US$25,000 per project",CSOs and independent media legally registered in Ukraine (or relocated to neighbouring countries) and currently operating in Ukraine or neighbouring states.,"Ukrainian CSOs, independent media, civic-tech, youth orgs, and recovery-focused local initiatives",Ukraine (including relocated orgs in neighbouring countries),Collaboration with local partners encouraged but not required,https://www.gmfus.org/democracy/ukraine-relief-resilience-recovery,"Grants to support urgent and long-term civic, media and recovery needs in Ukraine amid ongoing war-related disruptions.",Approved,,,,
2026 Investigative Reporting Fellowship,Ida B. Wells Society for Investigative Reporting,"A free, Atlanta-based fellowship for U.S.-based journalists to receive in-depth training in investigative reporting. Includes monthly sessions and support to produce a publishable investigative story.",Fellowship is free; travel and lodging covered,Fellowship is free; travel and lodging covered,U.S.-based journalists with at least 3 years of professional experience; freelancers must have newsroom commitment to publish project,Journalists and reporters transitioning to or growing in investigative reporting,United States,Individual applicants only; must have support from newsroom or publication partner,https://idabwellssociety.org/news/2026-investigative-reporting-fellowship-applications-are-now-open/,A strong U.S.-based fellowship for journalists seeking to develop and publish investigative stories with expert guidance and in-person training.,Approved,,,,
Internship – KAS Media Programme Asia (Singapore),Konrad-Adenauer-Stiftung (KAS) Media Programme Asia,"Internship for candidates interested in journalism and digital media. Responsibilities include content creation, social media strategy, video editing, and supporting regional events and communication workshops.",Unspecified stipend,Unspecified stipend,"Bachelor’s or Master’s students, or early-career professionals with journalism/media or communications skills; design/video editing preferred.",Media/communications,Asia (Singapore-based),NA,https://kas-media.asia/internship/,"Closely aligned to media and communications, with elements of design and digital production but not explicitly product/service design focused.",Approved,,,,
The Ferriss – UC Berkeley Psychedelic Journalism Fellowship (2026),UC Berkeley Graduate School of Journalism & UC Berkeley Center for the Science of Psychedelics,"A reporting fellowship issuing ten $10,000 grants to journalists to support in-depth print and audio stories on the science, policy, business, and culture aspects of psychedelics, nurturing a new generation of coverage in this field.","$10,000 reporting grant per recipient; intended to underwrite reporting costs and living expenses.","$10,000 reporting grant per recipient; intended to underwrite reporting costs and living expenses.","Professional journalists or experienced journalists with a strong track record; applicants should propose compelling, underreported story projects in print or audio illustrating significant psychedelic-related topics. Open to all nationalities; submissions require pitch, work samples, resume, and references.","Journalists (print/audio), independent reporters, freelance journalists covering science, policy, culture, and business beats.",Global (open internationally; awards administered by UC Berkeley in the U.S.),No consortium requirement; individual fellowships only. Co-application or team submissions not allowed.,https://fellowships.journalism.berkeley.edu/bcsp/,"A competitive global fellowship granting $10,000 to journalists to report deep, narrative stories on psychedelic research, policy, business, and cultural issues.",Approved,,,,
OSINT Fellowship (2026),Lighthouse Reports,"A part-time 6-month open-source intelligence (OSINT) fellowship contributing to investigative work, focused on expanding journalism in underrepresented communities.","€1,100/month stipend; 5 days leave for the duration; remote work.","€1,100/month stipend; 5 days leave for the duration; remote work.",Early-career journalists or journalism-adjacent professionals from Majority World countries with OSINT and social media research skills.,"Early-career journalists, OSINT practitioners",Global (remote; targeted to Majority World citizens),No specific consortium requirement noted.,https://www.lighthousereports.com/jobs/#osint-fellowship),Fellowship supports OSINT-focused journalists from underrepresented communities.,Approved,,,,
Reporting Fellowship (2026),Lighthouse Reports,A part-time 6-month reporting fellowship embedded within high-impact investigative projects; fellows work with Lighthouse’s global distributed newsroom and are mentored by senior journalists.,"€1,100/month stipend; 5 days leave for the duration; remote work.","€1,100/month stipend; 5 days leave for the duration; remote work.",Early-career professionals with less than 5 years of experience in journalism or related fields; strong research and writing skills required.,"Early-career journalists, investigative reporters",Global (remote; based anywhere with good internet access),No specific consortium requirement noted.,https://www.lighthousereports.com/jobs/#reporting-fellowship,6-month part-time fellowship supporting development of cross-border investigative journalism skills.,Approved,,,,
CIJI Grants Towards Journalism Trust Initiative Certification (2026),"Collaborative and Investigative Journalism Initiative (CIJI), coordinated by Tactical Tech, with RSF and other partners","Grants to support media organizations in the European Union to achieve Journalism Trust Initiative (JTI) certification, promoting ethical, transparent, and accountable journalism.","€1,500 to €5,000 per grantee based on audit cost and quote from certification body","€1,500 to €5,000 per grantee based on audit cost and quote from certification body","Legally registered media organizations (print, TV, radio, or digital) operating in any of the 27 EU Member States; must complete JTI self-assessment and publish Transparency Report",Media organizations aiming for JTI certification,European Union (27 Member States only),No consortium requirement; individual media organizations apply independently,https://www.ciji.info/announcements/?utm_source=substack&utm_medium=email#journalism-trust-grant-nov-2025,Supports EU-based media outlets in obtaining JTI certification to strengthen transparency and editorial standards.,Approved,,,,
Goldsmith Prize for Investigative Reporting,"Shorenstein Center on Media, Politics and Public Policy at Harvard Kennedy School (Funded by the Goldsmith Fund of the Greenfield Foundation)","Annual award recognizing investigative journalism that promotes more effective and ethical conduct of government, public policy, or politics in the U.S.","Winner: $25,000 USD; Finalists: $10,000 USD each; Prize money goes to journalists directly","Winner: $25,000 USD; Finalists: $10,000 USD each; Prize money goes to journalists directly","Open to U.S. news media including newspapers, magazines, broadcast, radio, podcasts, online outlets; documentaries publicly released in U.S.; work must be published between Jan 1–Dec 31, 2025; books not eligible","Journalists, media organizations, investigative teams, documentary filmmakers",United States,Collaborations allowed; lead news organization must submit and list partners; secondary collaborators don’t count toward entry limits,https://goldsmithawards.org/the-goldsmith-prize-for-investigative-reporting/,"Prestigious annual U.S. award for impactful investigative reporting; submissions open until Jan 5, 2026",Approved,,,,
Global Media Defence Fund (GMDF) – Call for Partnerships 2025,UNESCO – Global Media Defence Fund,"Call for proposals supporting projects that bolster journalists’ legal safety and media freedom through investigative journalism, strategic litigation, and legal assistance.","Total budget of $800,000; individual grants between $15,000–$50,000; approx. 16–25 grants available","Total budget of $800,000; individual grants between $15,000–$50,000; approx. 16–25 grants available","Non-profit organizations working on media freedom, legal protection of journalists, strategic litigation, or investigative journalism; proposal with required documents must be submitted","Non-profit organizations focused on journalism, legal rights, and media freedom",Global (multi-country eligibility),Collaborations encouraged; proposals may be submitted jointly by relevant entities,https://www.ungm.org/Public/Notice/283457,Funding call supporting global initiatives to enhance legal protection and media freedom for journalists,Approved,,,,
RCDIJ Africa Fund,Ripples Centre for Data and Investigative Journalism (RCDIJ),"Supports small to mid-scale investigative and data journalism projects on public interest issues such as health, education, environment, corruption, technology, etc.","Up to $10,000 per project; includes editorial support and publication via Ripples Nigeria","Up to $10,000 per project; includes editorial support and publication via Ripples Nigeria","Individual journalists based in Africa (freelance or employed); open to all media formats; application must include project plan, budget, past work, CV, and ID",Individual African journalists across all media types,Africa,No consortium required; collaborative projects allowed if led by eligible individual,https://www.rcdij.org/the-rcdij-africa-fund/?mc_cid=b7f2c67d86&mc_eid=d35e6cf23a,Rolling fund offering grants and editorial backing for investigative journalism in Africa,Approved,,,,
Dr Goodluck Jonathan Freedom of Information Awards 2026,Media Rights Agenda (MRA),"Annual awards recognizing excellence in journalistic use and promotion of the Freedom of Information Act, 2011 in Nigeria. Two categories: Most Active User and Most Outstanding Promoter of the FOI Act.","Plaque, certificate, and an unspecified prize for each winner","Plaque, certificate, and an unspecified prize for each winner","Nigerian journalists across print, broadcast, online, or multimedia; must show evidence of FOI use/promotion; no record of professional misconduct",Journalists promoting transparency and accountability through FOI Act in Nigeria,Nigeria,Individual applications only; collaborations not specified,https://mediarightsagenda.org/call-for-entries-for-dr-goodluck-jonathan-freedom-of-information-awards-2026/,"Awards presented on May 28, 2026, in Abuja, marking the 15th anniversary of the FOI Act",Approved,,,,
CJF Black Journalism Fellowships 2026,Canadian Journalism Foundation (CJF),Five six-month fellowships placing early-career Black Canadian journalists in major newsrooms to amplify Black voices and improve coverage of Black issues,"$35,000 stipend over six months; includes mentoring, training, and newsroom experience","$35,000 stipend over six months; includes mentoring, training, and newsroom experience",Black Canadian journalists with 1–5 years’ experience; must relocate to host city; full-time newsroom staff ineligible,Early-career Black journalists seeking professional growth,Canada,Individual fellowship placements; applicants choose preferred newsroom; no consortium required,https://cjf-fjc.ca/blackfellowshipform/,Fellowship offers paid newsroom placement with mentorship and professional development for Black journalists in Canada,Approved,,,,
CJF–CBC Indigenous Journalism Fellowship 2026,Canadian Journalism Foundation (CJF) in partnership with CBC Indigenous,A four-month fellowship placing an Indigenous journalist with CBC Indigenous to research and report on a key Indigenous issue for possible publication,"$30,000 CAD stipend paid semi-monthly; mentorship and editorial support; newsroom experience with CBC","$30,000 CAD stipend paid semi-monthly; mentorship and editorial support; newsroom experience with CBC","First Nation, Inuit, or Métis journalists with 1–10 years of experience; must be able to work in-person at host CBC location; responsible for own accommodation","Indigenous (First Nation, Inuit, Métis) journalists in Canada",Canada,"Individual fellowship; applicants must submit proposal, CV, work samples, and reference",https://cjf-fjc.ca/cjfcbcindigenousform/,Supports Indigenous journalists to report on significant issues and gain newsroom experience with CBC Indigenous,Approved,,,,
Global Reporting Grant,Pulitzer Center,"Provides funding for in-depth, underreported global stories across any topic or medium, encouraging ambitious investigative journalism worldwide.",Project-based funding; amount varies depending on scope.,Project-based funding; amount varies depending on scope.,Freelance or staff journalists worldwide with solid reporting proposals.,Investigative and in-depth journalism,Global,Collaboration with local partners encouraged.,https://pulitzercenter.org/grants-fellowships/opportunities-journalists/global-reporting-grants,Designed for global journalists covering systemic issues and overlooked regions.,Approved,,,,
Knight‑Bagehot Fellowship in Economics and Business Journalism,"Columbia Journalism School, Columbia University","A prestigious, fully funded, academic-year fellowship for mid-career journalists to deepen expertise in business, economics, and finance through Columbia coursework and industry engagement.","Full tuition, $7,800/month stipend, health insurance, subsidized housing","Full tuition, $7,800/month stipend, health insurance, subsidized housing","Experienced journalists with a strong reporting track record, especially in business or economic journalism; open globally","Mid-career journalists (staff or freelance) in print, digital, or broadcast media",Global,Individual applications only; consortiums not accepted,https://journalism.columbia.edu/knight-bagehot,Rigorous academic and professional development program at Columbia for economic and business journalists.,Approved,,,,
AJI Reporting Fellowship (2026–2028),Allbritton Journalism Institute (AJI),"A two-year paid fellowship combining classroom training and newsroom reporting at NOTUS in Washington, D.C., focused on politics, policy, and government. Fellows gain mentorship, build beats, and develop strong reporting skills through immersive practice.","$60,000 annual salary + benefits; no tuition costs","$60,000 annual salary + benefits; no tuition costs","Open to applicants of all backgrounds; early-career journalists, recent graduates, and career changers with interest in journalism and politics; no prior experience required.",Aspiring political and policy journalists,"United States (Washington, D.C.)",Not applicable,https://aji.org/,Offers real newsroom experience and structured training for early-career journalists passionate about covering politics and public affairs.,Approved,,,,
Extreme Weather in the Philippines- Investigative Reporting Fellowship,"Earth Journalism Network (EJN) / Internews, supported by Sida","A fellowship supporting journalists in the Philippines to produce investigative reports on disaster preparedness, adaptation strategies, climate impacts, and accountability in extreme weather events.","PHP 118,000 grant per fellow; investigative journalism workshop; editorial mentorship; up to 12 fellowships awarded","PHP 118,000 grant per fellow; investigative journalism workshop; editorial mentorship; up to 12 fellowships awarded","Journalists based in the Philippines with at least 2 years of experience; open to freelancers and newsroom staff; must have prior reporting experience on environment, climate or governance; must submit proposal and commitment letter from publisher","Journalists focusing on climate, disaster risk, environment, and accountability issues",Philippines,"Administered by Earth Journalism Network under Internews Asia-Pacific project, funded by Sida",https://earthjournalism.net/opportunities/extreme-weather-in-the-philippines-investigative-reporting-fellowship,"Combines story funding, mentorship, and training to advance investigative climate journalism in the Philippines",Approved,,,,
Reuters Institute Journalist Fellowship Programme,"Reuters Institute for the Study of Journalism, University of Oxford","A prestigious fellowship offering mid-career journalists the opportunity to pursue research, attend seminars, and expand their professional network at Oxford University.","Fully funded: includes programme fees, £2,000/month stipend, airfare, visa, and access to academic resources","Fully funded: includes programme fees, £2,000/month stipend, airfare, visa, and access to academic resources",Practising journalists or editors with minimum 5 years' experience; freelancers eligible; excludes PR/public affairs professionals; must be proficient in English,Mid-career journalists and editors seeking research and professional growth,Global,"Hosted by Reuters Institute at Oxford, supported by various foundations including Thomson Reuters Foundation",https://reutersinstitute.politics.ox.ac.uk/fellowships,Research-based journalism fellowship at Oxford empowering global journalists to explore key industry questions and challenges,Approved,,,,
Y. Eva Tan Conservation Reporting Fellowship,Mongabay,A six-month remote fellowship to support early-career journalists from tropical biodiversity hotspots in producing high-quality environmental reporting. Fellows work with Mongabay editors to develop original stories on critical conservation issues and build their portfolios.,"USD 500 per month (USD 3,000 total); editorial mentorship; publication support; reporting experience","USD 500 per month (USD 3,000 total); editorial mentorship; publication support; reporting experience",Early-career journalists from low- to upper-middle-income tropical countries (based on World Bank classification); no formal education required; must be fluent in English for this cohort; must commit ~10 hours/week remotely,Aspiring and early-career environmental journalists,"Tropical biodiversity hotspot countries; that is low- to upper-middle-income tropical country, as classified by the World Bank (excluding high-income tropical countries). A list of eligible countries can be found on the website.",No formal consortium; managed by Mongabay with multiple language-based cohorts,https://mongabay.org/opportunity/the-y-eva-tan-conservation-reporting-fellowship/,Remote fellowship with editorial mentoring and stipend to report on environmental conservation from tropical countries,Approved,,,,
2026 Scripps Howard Journalism Internship,Scripps Howard Fund (The E.W. Scripps Company),"A paid internship program placing college students and recent grads in nonprofit newsrooms across the U.S. for 10–20 weeks, with newsroom coaching and weekly training.",Minimum $15/hour; additional financial support available if needed.,Minimum $15/hour; additional financial support available if needed.,"Undergraduate or graduate students, or 2025–26 graduates pursuing journalism.",Journalism students and early-career reporters,United States,Individual placements; no consortium required.,https://scrippshowardfoundation.submittable.com/submit/19569327-b580-4705-ab85-6c2159dd135a/2026-scripps-howard-journalism-internship-application,National journalism internship initiative supporting early-career reporters through paid newsroom experience and coaching.,Approved,,,,
Local Reporting Network Fellow,ProPublica,"A fellowship placing local U.S. journalists in their home newsrooms to produce investigative stories with ProPublica support. Fellows receive editorial guidance, resources, and publication collaboration.","Grant of up to $80,000 for salary plus 25% for benefits, paid to the host newsroom","Grant of up to $80,000 for salary plus 25% for benefits, paid to the host newsroom",Journalists working in English-language local/regional U.S. newsrooms with a strong investigative project idea and reporting background,Local newsroom journalists pursuing in-depth investigations,United States and U.S. territories,Individual placement; ProPublica partners directly with local newsrooms,https://job-boards.greenhouse.io/propublica/jobs/4617572006?gh_src=2b92d9bf6us,"A fully funded, year-long investigative journalism fellowship supporting local reporting through grants and editorial collaboration with ProPublica.",Approved,,,,
Reuters Institute Journalist Fellowship Programme 2026–27,"Reuters Institute for the Study of Journalism, University of Oxford","A three- to six-month fellowship for mid-career journalists to undertake a self-directed journalism project at Oxford, with access to seminars, networking, and mentoring.","£2,000 monthly stipend; visa, travel, and programme fees fully covered","£2,000 monthly stipend; visa, travel, and programme fees fully covered",Practising journalists with at least 5 years of experience; freelancers welcome; must be working in journalism and plan to return after the fellowship,Mid-career journalists and editors seeking academic enrichment and global networking,Global,Individual application; some may be funded via sponsor organizations,https://reutersinstitute.politics.ox.ac.uk/our-journalist-fellowship-programme,"A globally renowned fellowship offering journalists time, resources, and mentorship to explore key journalism challenges at Oxford.",Approved,,,,
Shorenstein Journalism Award,"Walter H. Shorenstein Asia-Pacific Research Center, Stanford University",Annual award honoring journalists or media organizations for outstanding reporting that enhances global understanding of the Asia-Pacific region.,"US $10,000 cash prize","US $10,000 cash prize","Nominations only (no self-nominations); open to journalists and news media organizations. Teams not eligible. Nominations can be made by editors, publishers, scholars, and journalism-focused organizations.",Journalists and news media organizations with impactful reporting on the Asia-Pacific region,Global (with Asia-Pacific reporting focus),Individual or organizational recognition; consortiums not applicable,https://aparc.fsi.stanford.edu/events/shorenstein-journalism-award,"Prestigious award recognizing excellence in journalism on Asia-Pacific issues, alternating annually between Western and Asian media focus.",Approved,,,,
O’Brien Fellowship in Public Service Journalism (2025‑26),Marquette University — Diederich College of Communication,"A nine-month fellowship supporting experienced journalists to pursue in-depth public service reporting projects of state, regional, national or international interest, integrating student mentorship and newsroom collaboration.","- $75,000 stipend for 9 months<br>- Residency allowance up to $12,000<br>- Moving allowance up to $7,000<br>- Travel & research allowance up to $9,000<br>- Health insurance option for independents<br>- Employee benefits continue if fellow is employed","- $75,000 stipend for 9 months<br>- Residency allowance up to $12,000<br>- Moving allowance up to $7,000<br>- Travel & research allowance up to $9,000<br>- Health insurance option for independents<br>- Employee benefits continue if fellow is employed","- Staff-employed or freelance journalists residing in the U.S. or U.S. territories<br>- At least 5 years of professional journalism experience<br>- Open to journalists across media formats (print, broadcast, digital, podcasts, etc.)<br>- No academic prerequisites",Journalists and independent reporters,United States & Territories,No formal consortia required; collaboration with Marquette students and faculty is part of the program,https://www.marquette.edu/obrien-fellowship/,Prestigious fellowship offering significant resources for impactful investigative reporting and student mentorship.,Approved,,,,
Open Call for Investigative Journalists: BIRN Investigative Journalists Programme 2026,Balkan Investigative Reporting Network (BIRN),"BIRN is inviting individual journalists to apply for grants to produce in‑depth investigative stories that shed light on critical social, political and economic issues. The programme includes financial support and professional mentoring to develop impactful journalism.","€1,140 per investigative story, mentoring support from BIRN editors, 20 grants available, project duration of 3–6 months","€1,140 per investigative story, mentoring support from BIRN editors, 20 grants available, project duration of 3–6 months",Individual journalists (no teams); must be publishing in EU or EU aspiring countries; one proposal per journalist; requires CV and letter of support from a media outlet,"Journalists, including freelancers, working on investigative journalism","EU member states and aspiring countries: Albania, Bosnia and Herzegovina, Georgia, Moldova, Montenegro, North Macedonia, Serbia, Turkey, Ukraine, Kosovo",Part of the Media Organisations for Stronger Transnational Journalism (MOST) consortium,https://birn.eu.com/news-and-events/open-call-for-investigative-journalists-apply-now/,Ongoing open call until 20 grants are awarded; includes mentoring and funding for impactful investigative stories,Approved,,,,
ABC News / AAJA Alexa Valiente Summer Internship,Asian American Journalists Association (AAJA) & ABC News,"A 12-week paid summer internship offering hands-on experience in editorial and production across ABC News platforms, in memory of Alexa Valiente.",Paid 40 hrs/week; housing stipend; professional development & speaker events,Paid 40 hrs/week; housing stipend; professional development & speaker events,Junior or senior at accredited college/university OR recent grad (within 6 months); active AAJA member; min. 3.0 GPA; prior internship experience; eligible to work in the U.S.,Journalism and media students pursuing careers in broadcast/news journalism,United States (New York City),"Partnership between AAJA and ABC News; intern may work across major platforms like GMA, Nightline, abcnews.com",https://www.aaja.org/news-and-resources/scholarships-internships/abc-news-aaja-alexa-valiente-summer-internship/,Offers aspiring journalists immersive newsroom experience and exposure at a leading broadcast network,Approved,,,,
Technology and Human Rights Fellowship 2026–2027,"Carr‑Ryan Center for Human Rights, Harvard Kennedy School","A year-long global fellowship for researchers and practitioners exploring how technology shapes human rights, with virtual engagement and in-person convenings at Harvard.",Unfunded; limited travel subsidies for on-campus events; access to Harvard resources and academic environment.,Unfunded; limited travel subsidies for on-campus events; access to Harvard resources and academic environment.,"Open to post-docs, scholars, human rights advocates, journalists, technologists, policy experts, and others with relevant experience.","Individuals working at the intersection of technology, governance, and human rights.",Global,Individual applications only; no consortiums accepted.,https://www.hks.harvard.edu/centers/carr-ryan/opportunities/fellowship-opportunities/technology-and-human-rights-fellowship#conceptual-foundations-1368325,Interdisciplinary fellowship combining tech and rights research with Harvard community participation.,Approved,,,,
California Health Equity Fellowship,USC Center for Health Journalism,"A fellowship supporting California-based reporters pursuing ambitious stories on undercovered health and equity issues. It offers in-person training, mentorship, and financial reporting support over five months.","$2,000–$10,000 reporting grant; in-person training; mentorship; additional $1,000–$2,000 engaged journalism support available","$2,000–$10,000 reporting grant; in-person training; mentorship; additional $1,000–$2,000 engaged journalism support available",California-based professional journalists (including freelancers); preference for 3+ years of experience and editorial support; national reporters eligible if focused on California issues,Journalists reporting on health and equity topics,"California, United States",Administered solely by USC Center for Health Journalism,https://centerforhealthjournalism.org/fellowships-grants/california-fellowship,"Supports impactful, equity-focused journalism in California through funding, training, and mentorship",Approved,,,,
